season,week,game_id,home_team,away_team,result,spread_line,predicted_margin,model_edge,pass_edge,rush_edge,rest_diff,wind,dome,qb_change_home,qb_change_away,injury_edge,home_cover_margin,home_covers,p_home_covers,side,p_side_covers,side_covers
2004,1,2004_01_GB_CAR,CAR,GB,-10.0,3.0,1.6968259967395056,-1.3031740032604944,-0.0849308912070601,-0.1167476628987742,0,5.0,0,0,0,0.0,-13.0,0,0.4689777487154676,away,0.5310222512845324,1
2004,2,2004_02_PIT_BAL,BAL,PIT,17.0,4.0,-0.794182793695013,-4.794182793695013,-0.1876760716299138,-0.0870822317319025,0,13.0,0,1,0,0.0,13.0,1,0.47348642681030617,away,0.5265135731896938,0
2004,2,2004_02_HOU_DET,DET,HOU,12.0,3.0,1.8965068422646865,-1.1034931577353135,-0.1398642910089617,-0.0264318316021335,0,0.0,1,0,0,0.0,9.0,1,0.47996766063581336,away,0.5200323393641866,0
2004,2,2004_02_CHI_GB,GB,CHI,-11.0,9.0,7.096380873050917,-1.9036191269490832,0.1815888237596917,-0.0397452892840766,-1,15.0,0,0,1,0.0,-20.0,0,0.5234013963002694,away,0.4765986036997306,1
2004,2,2004_02_DEN_JAX,JAX,DEN,1.0,-3.0,2.348558436208431,5.348558436208431,0.0916886702709482,-0.3238216490666948,0,15.0,0,0,0,0.0,4.0,1,0.4440323146147962,home,0.4440323146147962,1
2004,2,2004_02_CAR_KC,KC,CAR,-11.0,7.0,4.986385137025668,-2.0136148629743325,-0.0392785846115206,0.4457308859614959,1,12.0,0,0,0,0.0,-18.0,0,0.5402430360065614,away,0.45975696399343857,1
2004,2,2004_02_SF_NO,NO,SF,3.0,7.5,5.555936234309721,-1.944063765690279,0.0742211935593663,-0.0920613609159242,0,0.0,1,0,1,0.0,-4.5,0,0.518512170414468,away,0.48148782958553205,1
2004,2,2004_02_WAS_NYG,NYG,WAS,6.0,-3.0,4.158405420018493,7.158405420018493,0.2630063014933972,0.0070907754275463,0,16.0,0,1,1,0.0,9.0,1,0.5322889338011915,home,0.5322889338011915,1
2004,2,2004_02_IND_TEN,TEN,IND,-14.0,-1.5,2.221063234510817,3.721063234510817,-0.2345597583922238,-0.1213909419189081,-2,13.0,0,0,0,0.0,-12.5,0,0.46441378780195564,home,0.46441378780195564,0
2004,2,2004_02_SEA_TB,TB,SEA,-4.0,-3.0,2.352508258558724,5.352508258558724,-0.2399271685091525,0.0019019810912415,0,8.0,0,0,0,0.0,-1.0,0,0.4832186893873976,home,0.4832186893873976,0
2004,2,2004_02_NE_ARI,ARI,NE,-11.0,-8.0,-0.6214630100725183,7.378536989927482,-0.0709130454116995,-0.0367401970480183,-3,15.0,0,1,0,0.0,-3.0,0,0.4745135476166907,home,0.4745135476166907,0
2004,2,2004_02_CLE_DAL,DAL,CLE,7.0,4.5,3.86159479095995,-0.6384052090400498,0.3063025835977927,0.0456759699535204,0,12.0,0,1,1,0.0,2.5,1,0.5371354288955483,away,0.46286457110445167,0
2004,2,2004_02_MIA_CIN,CIN,MIA,3.0,5.5,3.7612947124043137,-1.7387052875956863,0.3935155194123306,0.1241492190766914,-1,9.0,0,1,1,0.0,-2.5,0,0.5451594177561901,away,0.45484058224380985,1
2004,2,2004_02_MIN_PHI,PHI,MIN,11.0,3.0,1.756656761643087,-1.243343238356913,-0.1083528890577993,0.0328542438978186,0,1.0,0,0,0,0.0,8.0,1,0.4873572277431472,away,0.5126427722568527,0
2004,3,2004_03_ARI_ATL,ATL,ARI,3.0,11.0,3.1701505947697166,-7.829849405230283,-0.0039744801124929,0.2548355966864517,0,0.0,1,0,0,0.0,-8.0,0,0.5150153196462299,away,0.48498468035377007,1
